epoch,step,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch
0,-1,,,,,0.0638667568564415
1,-1,,,,,0.07552832365036011
2,-1,,,,,0.0755501389503479
3,-1,,,,,0.06797298043966293
4,-1,,,,,0.06998230516910553
5,-1,,,,,0.062202028930187225
6,-1,,,,,0.08628097921609879
7,-1,,,,,0.082398422062397
8,-1,,,,,0.07026892900466919
9,-1,,,,,0.05932976305484772
10,-1,,,,,0.06904148310422897
11,-1,,,,,0.067766472697258
12,-1,,,,,0.07623375952243805
13,-1,,,,,0.06254982948303223
14,-1,,,,,0.08171871304512024
15,-1,,,,,0.07648976147174835
16,-1,,,,,0.08289977163076401
17,-1,,,,,0.07447104156017303
18,-1,,,,,0.06574982404708862
19,-1,,,,,0.08667626976966858
20,-1,,,,,0.08059006184339523
21,-1,,,,,0.092609703540802
22,-1,,,,,0.08101887255907059
23,-1,,,,,0.0756782591342926
24,-1,,,,,0.06975875794887543
25,-1,,,,,0.08720167726278305
26,-1,,,,,0.07673003524541855
27,-1,,,,,0.07193295657634735
28,-1,,,,,0.06792475283145905
29,-1,,,,,0.061005521565675735
30,0,0.07568345218896866,2.562326669692993,0.07198189198970795,0.07568345218896866,
