epoch,step,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch
0,-1,,,,,0.08860970288515091
1,-1,,,,,0.0872178003191948
2,-1,,,,,0.0726328194141388
3,-1,,,,,0.08429460227489471
4,-1,,,,,0.059147097170352936
5,-1,,,,,0.08890794962644577
6,-1,,,,,0.0725097507238388
7,-1,,,,,0.0783936157822609
8,-1,,,,,0.06675314158201218
9,-1,,,,,0.08037957549095154
10,-1,,,,,0.07838332653045654
11,-1,,,,,0.06013672798871994
12,-1,,,,,0.08298841118812561
13,-1,,,,,0.06645768135786057
14,-1,,,,,0.0771702378988266
15,-1,,,,,0.0722242146730423
16,-1,,,,,0.09018763899803162
17,-1,,,,,0.06986261904239655
18,-1,,,,,0.07722285389900208
19,-1,,,,,0.08418864011764526
20,-1,,,,,0.08528176695108414
21,-1,,,,,0.07144995033740997
22,-1,,,,,0.08496298640966415
23,-1,,,,,0.06353869289159775
24,-1,,,,,0.07864195108413696
25,-1,,,,,0.06951552629470825
26,-1,,,,,0.06964804232120514
27,-1,,,,,0.06920045614242554
28,-1,,,,,0.08263705670833588
29,-1,,,,,0.0729452520608902
30,0,0.08531958609819412,2.5981483459472656,0.08193691074848175,0.08531958609819412,
