"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.8761510252952576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.89499855041504,2.538928622897174e-09,25.558427810668945,0,3.33254597251198e-08,,,,,,0.10829346626996994,2.7977521419525146,,,,
0.8217231035232544,,,,,,,,,,,556.931396484375,,,,,,,,,,,,,,,,,,,,7.513103891598023e-16,,,,,,,,,,0,24.885393142700195,2.6419333387650568e-09,25.558427810668945,1,3.288339911478033e-08,,,,,,0.11375748366117477,2.748941421508789,,,,
0.7984854578971863,,,,,,,,,,,528.148681640625,,543.4508056640625,,,,,,,,,,,,,,,,,,7.483682202175145e-16,,7.310967949065257e-16,,,,,,,,0,24.57891082763672,2.674876542485549e-09,25.558427810668945,2,3.3046351433085874e-08,,,,,,0.11391802132129669,2.723752975463867,,,,
0.8980412483215332,,,,,,,,,,,530.3482666015625,,537.97021484375,557.3203125,,,,,,,,,,,,,,,,,7.493820127762595e-16,,7.505203721178101e-16,7.517170179140436e-16,,,,,,,0,25.066972732543945,2.622795980400383e-09,25.558427810668945,3,3.3200098670249645e-08,,,,,,0.08635298907756805,2.8203368186950684,,,,
0.8722347617149353,,,,,,,,,,,541.0468139648438,,525.0416259765625,540.9305419921875,562.727294921875,,,,,,,,,,,,,,,,7.516362850862584e-16,,7.344325165319315e-16,7.570350613338205e-16,7.5944296424462765e-16,,,,,,0,25.103025436401367,2.619029215722435e-09,25.558427810668945,4,3.303329876302996e-08,,,,,,0.09476928412914276,2.8038041591644287,,,,
0.8467810153961182,,,,,,,,,,,547.041748046875,,544.5315551757812,537.5236206054688,541.78125,558.7586059570312,,,,,,,,,,,,,,,7.570155795760336e-16,,7.511976278986991e-16,7.657255664330904e-16,7.476928702607568e-16,7.35389187306296e-16,,,,,0,25.20920753479004,2.6079975956605495e-09,25.558427810668945,5,3.291654948611722e-08,,,,,,0.09698739647865295,2.7651267051696777,,,,
0.8881421089172363,,,,,,,,,,,554.974609375,,552.8032836914062,550.7110595703125,535.361572265625,545.1571044921875,565.9354248046875,,,,,,,,,,,,,,7.478975875361963e-16,,7.513232534726887e-16,7.532132486758091e-16,7.300499151232786e-16,7.365491459880016e-16,7.327923960482512e-16,,,,0,25.4373836517334,2.584603420174858e-09,25.558427810668945,6,3.3032335977623006e-08,,,,,,0.08267326653003693,2.812715530395508,,,,
0.8472623825073242,,,,,,,,,,,540.6561889648438,,536.55615234375,530.7904663085938,531.928466796875,518.7236328125,529.6596069335938,542.3580322265625,,,,,,,,,,,,,7.551073202249881e-16,,7.523234935042776e-16,7.499140024066944e-16,7.502229047346462e-16,7.401368069756564e-16,7.505916287644978e-16,7.266820062458771e-16,,,0,24.567718505859375,2.6760953453219827e-09,25.558427810668945,7,3.2849332143314314e-08,,,,,,0.1015855073928833,2.7698512077331543,,,,
0.8434383869171143,,,,,,,,,,,535.614990234375,,551.172119140625,548.9030151367188,545.8599853515625,545.4635620117188,537.8148803710938,545.7783203125,564.2068481445312,,,,,,,,,,,,7.54594282956748e-16,,7.413853335399092e-16,7.579697621911156e-16,7.568561785632722e-16,7.592069596896989e-16,7.598486930263625e-16,7.686927757868814e-16,7.560424445987569e-16,,0,25.21434211730957,2.6074666870101737e-09,25.558427810668945,8,3.3107717456459795e-08,,,,,,0.08510812371969223,2.7683660984039307,,,,
0.8351507782936096,,,,,,,,,,,561.8729858398438,,545.5701904296875,564.4815673828125,557.115234375,557.693603515625,554.3495483398438,539.5496826171875,550.5587158203125,574.1871337890625,,,,,,,,,,,7.719501998042254e-16,,7.601458957117303e-16,7.632620769851197e-16,7.54078916347903e-16,7.71354047428036e-16,7.598967092065599e-16,7.471087881040657e-16,7.576755241210631e-16,7.632216841014475e-16,0,25.46773910522461,2.581522773326128e-09,25.558427810668945,9,3.3026179124817645e-08,,,,,,0.09730935841798782,2.764927625656128,,,,
